programme_family,resource_type,artefact_id,title,source_path,publication_status,notes
Child,Questionnaire,q-child-02,Maklumat Adik Beradik,Child\Questionnaire\q-child-02.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-03,Rekod Antenatal Ibu,Child\Questionnaire\q-child-03.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-04,Rekod Kelahiran,Child\Questionnaire\q-child-04.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-05,Senarai Masalah,Child\Questionnaire\q-child-05.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-06,Rawatan Neonatal,Child\Questionnaire\q-child-06.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-10m,Lawatan Umur 10 Bulan (Sarawak),Child\Questionnaire\q-child-10m.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-12-15m,Lawatan Umur 12 & 15 Bulan,Child\Questionnaire\q-child-12-15m.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-18-21m,Lawatan Umur 18 & 21 Bulan,Child\Questionnaire\q-child-18-21m.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-1m,Lawatan 1 Bulan,Child\Questionnaire\q-child-1m.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-2-3y,"(Lawatan Umur 2 Tahun, 2 Tahun 6 Bulan, 3 Tahun & 3 Tahun 6 Bulan)",Child\Questionnaire\q-child-2-3y.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-2m,Lawatan umur 2 Bulan,Child\Questionnaire\q-child-2m.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-3-4m,Lawatan Umur 3 & 4 Bulan,Child\Questionnaire\q-child-3-4m.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-4y,Lawatan Umur 4 Tahun,Child\Questionnaire\q-child-4y.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-5-6m,Lawatan Umur 5 & 6 Bulan,Child\Questionnaire\q-child-5-6m.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-5-6y,Lawatan Umur 5 & 6 Tahun,Child\Questionnaire\q-child-5-6y.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-9m,Lawatan Umur 9 Bulan,Child\Questionnaire\q-child-9m.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-add,Pemeriksaan Tambahan Lawatan Klinik,Child\Questionnaire\q-child-add.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-born,Rekod Baru Lahir,Child\Questionnaire\q-child-born.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-ds-0-9m,Pemeriksaan Pergigian (Umur 0-9 Bulan),Child\Questionnaire\q-child-ds-0-9m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-ds-10-23m,Pemeriksaan Pergigian (Umur 10-23 Bulan),Child\Questionnaire\q-child-ds-10-23m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
