profile_name,profile_id,resource_type,family,maturity,notes
AddressMyCore,Address-my-core,Address,other,draft-v2,Migrated legacy profile or constraint.
AdverseEventMyCore,AdverseEvent-my-core,AdverseEvent,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
AllergyIntoleranceMyCore,AllergyIntolerance-my-core,AllergyIntolerance,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
AllergyIntoleranceNegationMyCore,AllergyIntolerance-negation-my-core,AllergyIntolerance,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
AppointmentMyCore,Appointment-my-core,Appointment,scheduling-and-workflow,draft-v2,Migrated legacy profile or constraint.
CarePlanMyCore,CarePlan-my-core,CarePlan,procedures-and-clinical-records,draft-v2,Migrated legacy profile or constraint.
ChargeItemMyCore,ChargeItem-my-core,ChargeItem,financial,draft-v2,Migrated legacy profile or constraint.
ChargeItemDefinitionMyCore,ChargeItemDefinition-my-core,ChargeItemDefinition,financial,draft-v2,Migrated legacy profile or constraint.
CompositionMyCore,Composition-my-core,Composition,procedures-and-clinical-records,draft-v2,Migrated legacy profile or constraint.
ConditionMyCore,Condition-my-core,Condition,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ConsentMyCore,Consent-my-core,Consent,procedures-and-clinical-records,draft-v2,Migrated legacy profile or constraint.
DeviceMyCore,Device-my-core,Device,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
DiagnosticReportMyCore,DiagnosticReport-my-core,DiagnosticReport,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
DocumentManifestMyCore,DocumentManifest-my-core,DocumentManifest,procedures-and-clinical-records,draft-v2,Migrated legacy profile or constraint.
EncounterMyCore,Encounter-my-core,Encounter,scheduling-and-workflow,draft-v2,Migrated legacy profile or constraint.
MyFamilyMemberHistory,FamilyMemberHistory-my-core,FamilyMemberHistory,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
FlagMyCore,Flag-my-core,Flag,identity-and-demographics,draft-v2,Migrated legacy profile or constraint.
HealthcareServiceMyCore,HealthcareService-my-core,HealthcareService,organisation-and-workforce,draft-v2,Migrated legacy profile or constraint.
ImagingStudyMyCore,ImagingStudy-my-core,ImagingStudy,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ImmunizationMyCore,Immunization-my-core,Immunization,immunisation,draft-v2,Migrated legacy profile or constraint.
ImmunizationRecommendation,ImmunizationRecommendation-my-core,ImmunizationRecommendation,immunisation,draft-v2,Migrated legacy profile or constraint.
InvoiceMyCore,Invoice-my-core,Invoice,financial,draft-v2,Migrated legacy profile or constraint.
ListMyCore,List-my-core,List,procedures-and-clinical-records,draft-v2,Migrated legacy profile or constraint.
LocationMyCore,Location-my-core,Location,organisation-and-workforce,draft-v2,Migrated legacy profile or constraint.
MedicationMyCore,Medication-my-core,Medication,medication-and-knowledge,draft-v2,Migrated legacy profile or constraint.
MedicationKnowledgeMyCore,MedicationKnowledge-my-core,MedicationKnowledge,medication-and-knowledge,draft-v2,Migrated legacy profile or constraint.
MedicationRequestMyCore,MedicationRequest-my-core,MedicationRequest,medication-and-knowledge,draft-v2,Migrated legacy profile or constraint.
ObservationBMIMyCore,Observation-bmi-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationBodyTempMyCore,Observation-body-temp-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationChestCircumferenceMyCore,Observation-chest-circumference-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationDentalAlertMyCore,Observation-dental-alert-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationDentalChartMyCore,Observation-dental-chart-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationDevelopmentalMilestoneMyCore,Observation-developmental-milestone-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationDiastolicBpMyCore,Observation-diastolic-bp-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationFastingGlucoseMyCore,Observation-fasting-glucose-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationFoetalKickMyCore,Observation-foetal-kick-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationHeadCircumferenceMyCore,Observation-head-circumference-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationHeartRateMyCore,Observation-heart-rate-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationHeightMyCore,Observation-height-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationLabResultMyCore,Observation-lab-result-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationObstetricHbMyCore,Observation-obstetric-hb-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationObstetricUsMyCore,Observation-obstetric-us-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
