legacy_url,new_url,artefact_type,artefact_id,action_taken,notes
http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/active-ingredient-my-core,CodeSystem,active-ingredient-my-core,id-normalised,Normalised resource id from 'code-system-active-ingredient-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/allergy-code-my-core,CodeSystem,allergy-code-my-core,id-normalised,Normalised resource id from 'code-system-allergy-code-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/allergy-environment-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/allergy-environment-my-core,CodeSystem,allergy-environment-my-core,id-normalised,Normalised resource id from 'code-system-allergy-environment-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/audiology-assessment-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/audiology-assessment-my-core,CodeSystem,audiology-assessment-my-core,id-normalised,Normalised resource id from 'code-system-audiology-assessment-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystem,audiology-aural-rehabilitation-my-core,id-normalised,Normalised resource id from 'code-system-audiology-aural-rehabilitation-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/audiology-cochlear-implant-assessment-my-core,CodeSystem,audiology-cochlear-implant-assessment-my-core,id-normalised,Normalised resource id from 'code-system-audiology-cochlear-implant-assessment-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/audiology-electrophysiology-test-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/audiology-electrophysiology-test-my-core,CodeSystem,audiology-electrophysiology-test-my-core,id-normalised,Normalised resource id from 'code-system-audiology-electrophysiology-test-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/audiology-hearing-aid-assessment-my-core,CodeSystem,audiology-hearing-aid-assessment-my-core,id-normalised,Normalised resource id from 'code-system-audiology-hearing-aid-assessment-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/audiology-neonatal-hearing-screening-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/audiology-neonatal-hearing-screening-my-core,CodeSystem,audiology-neonatal-hearing-screening-my-core,id-normalised,Normalised resource id from 'code-system-audiology-neonatal-hearing-screening-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/cancellation-reason-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/cancellation-reason-my-core,CodeSystem,cancellation-reason-my-core,id-normalised,Normalised resource id from 'code-system-cancellation-reason-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/clinic-physiotherapy-my-core,CodeSystem,clinic-physiotherapy-my-core,id-normalised,Normalised resource id from 'code-system-clinic-physiotherapy-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/cluster-facility-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/cluster-facility-my-core,CodeSystem,cluster-facility-my-core,id-normalised,Normalised resource id from 'code-system-cluster-facility-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/developmental-milestone-my-core,,CodeSystem,code-system-developmental-milestone-my-core,merged-duplicate,Removed duplicate in favour of the retained developmental-milestone CodeSystem.
http://fhir.hie.moh.gov.my/CodeSystem/encounter-class-my-core,http://terminology.hl7.org/CodeSystem/v3-ActCode,CodeSystem,code-system-encounter-class-my-core,externalised,Published bindings and examples now point to the external HL7 v3 ActCode system URI http://terminology.hl7.org/CodeSystem/v3-ActCode; the legacy MY Core code system is retained only in source lineage.
http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,http://loinc.org,CodeSystem,code-system-lab-my-core,externalised,Published bindings and examples now point to the external LOINC system URI http://loinc.org; the legacy MY Core code system is retained only in source lineage.
http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,http://hl7.org/fhir/sid/icd-9-cm,CodeSystem,code-system-procedure-code-my-core,externalised,Published bindings and examples now point to the external ICD-9-CM system URI http://hl7.org/fhir/sid/icd-9-cm; the legacy MY Core code system is retained only in source lineage.
http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,http://hl7.org/fhir/sid/icd-9-cm,CodeSystem,code-system-procedure-my-core,externalised,Published bindings and examples now point to the external ICD-9-CM system URI http://hl7.org/fhir/sid/icd-9-cm; the legacy MY Core code system is retained only in source lineage.
http://fhir.hie.moh.gov.my/CodeSystem/servicerequest-category-my-core,http://snomed.info/sct,CodeSystem,code-system-servicerequest-category-my-core,externalised,Published bindings and examples now point to the external SNOMED CT system URI http://snomed.info/sct; the legacy MY Core code system is retained only in source lineage.
http://fhir.hie.moh.gov.my/CodeSystem/composition-category-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/composition-category-my-core,CodeSystem,composition-category-my-core,id-normalised,Normalised resource id from 'code-system-composition-category-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/composition-class-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/composition-class-my-core,CodeSystem,composition-class-my-core,id-normalised,Normalised resource id from 'code-system-composition-class-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/composition-event-my-core,CodeSystem,composition-event-my-core,id-normalised,Normalised resource id from 'code-system-composition-event-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/composition-form-event-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/composition-form-event-my-core,CodeSystem,composition-form-event-my-core,id-normalised,Normalised resource id from 'code-system-composition-form-event-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/composition-type-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/composition-type-my-core,CodeSystem,composition-type-my-core,id-normalised,Normalised resource id from 'code-system-composition-type-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/condition-category-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/condition-category-my-core,CodeSystem,condition-category-my-core,id-normalised,Normalised resource id from 'code-system-condition-category-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/cooking-demonstration-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/cooking-demonstration-my-core,CodeSystem,cooking-demonstration-my-core,id-normalised,Normalised resource id from 'code-system-cooking-demonstration-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/data-type-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/data-type-my-core,CodeSystem,data-type-my-core,id-normalised,Normalised resource id from 'code-system-data-type-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/dental-alert-code-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/dental-alert-code-my-core,CodeSystem,dental-alert-code-my-core,id-normalised,Normalised resource id from 'code-system-dental-alert-code-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/dental-code-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/dental-code-my-core,CodeSystem,dental-code-my-core,id-normalised,Normalised resource id from 'code-system-dental-code-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/dental-history-alert-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/dental-history-alert-my-core,CodeSystem,dental-history-alert-my-core,id-normalised,Normalised resource id from 'code-system-dental-history-alert-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/dental-procedure-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/dental-procedure-my-core,CodeSystem,dental-procedure-my-core,id-normalised,Normalised resource id from 'code-system-dental-procedure-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/dentitian-my-core,CodeSystem,dentitian-my-core,id-normalised,Normalised resource id from 'code-system-dentitian-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/dev-milestone-fine-motor-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/dev-milestone-fine-motor-my-core,CodeSystem,dev-milestone-fine-motor-my-core,id-normalised,Normalised resource id from 'code-system-dev-milestone-fine-motor-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/dev-milestone-gross-motor-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/dev-milestone-gross-motor-my-core,CodeSystem,dev-milestone-gross-motor-my-core,id-normalised,Normalised resource id from 'code-system-dev-milestone-gross-motor-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/dev-milestone-social-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/dev-milestone-social-my-core,CodeSystem,dev-milestone-social-my-core,id-normalised,Normalised resource id from 'code-system-dev-milestone-social-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/dev-milestone-speech-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/dev-milestone-speech-my-core,CodeSystem,dev-milestone-speech-my-core,id-normalised,Normalised resource id from 'code-system-dev-milestone-speech-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/developmental-milestone-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/developmental-milestone-my-core,CodeSystem,developmental-milestone-my-core,id-normalised,Normalised resource id from 'code-system-developmental-milestone-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/diagnosis-role-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/diagnosis-role-my-core,CodeSystem,diagnosis-role-my-core,id-normalised,Normalised resource id from 'code-system-diagnosis-role-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/diagnostic-procedure-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/diagnostic-procedure-my-core,CodeSystem,diagnostic-procedure-my-core,id-normalised,Normalised resource id from 'code-system-diagnostic-procedure-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/discharge-disposition-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/discharge-disposition-my-core,CodeSystem,discharge-disposition-my-core,id-normalised,Normalised resource id from 'code-system-discharge-disposition-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/district-my-core,CodeSystem,district-my-core,id-normalised,Normalised resource id from 'code-system-district-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/drug-category-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/drug-category-my-core,CodeSystem,drug-category-my-core,id-normalised,Normalised resource id from 'code-system-drug-category-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/drug-cautionary-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/drug-cautionary-my-core,CodeSystem,drug-cautionary-my-core,id-normalised,Normalised resource id from 'code-system-drug-cautionary-my-core' to match the canonical URL tail.
http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,https://myehr.kkmhub.moh.gov.my/fhir/ImplementationGuide/my-core/CodeSystem/drug-dose-form-my-core,CodeSystem,drug-dose-form-my-core,id-normalised,Normalised resource id from 'code-system-drug-dose-form-my-core' to match the canonical URL tail.
